dims,periodic_space,distance_metric,N,ϕC0,prob_EV,λ,cycle,sor_vec,T,S,prob_move,sor_orientation,x0,μ,generation,trial,mean_ϕC,std_ϕC
(400  200),true,euclidean,32000,0.0,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,25,0.7659,0.0043
(400  200),true,euclidean,32000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,25,0.9592,0.0134
(400  200),true,euclidean,250,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,25,0.7293,0.1577
(400  200),true,euclidean,32000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,25,0.9096,0.0198
(400  200),true,euclidean,250,0.0,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,25,0.5358,0.0425
(400  200),true,euclidean,32000,0.0,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,25,0.7436,0.0039
(400  200),true,euclidean,250,0.0,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,25,0.4528,0.0648
(400  200),true,euclidean,250,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,25,0.4415,0.0653
