dims,periodic_space,distance_metric,N,ϕC0,prob_EV,λ,cycle,sor_vec,T,S,prob_move,sor_orientation,x0,μ,generation,trial,mean_ϕC,std_ϕC
(400  200),true,euclidean,1000,0.0,0.6,0.0,1,[(100  100)  (300  100)],0.5,0.9,0.0,0.1,4.0,0.01,10000,10,0.5454,0.0051
(400  200),true,euclidean,1000,0.0,0.8,0.0,1,[(100  100)  (300  100)],0.4,-0.7,0.4,0.1,4.0,0.01,10000,10,0.7848,0.1415
(400  200),true,euclidean,1000,0.0,0.7,0.0,1,[(100  100)  (300  100)],1.6,-0.8,0.8,0.1,4.0,0.01,10000,10,0.8114,0.0754
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],1.0,0.9,0.9,0.1,4.0,0.01,10000,10,0.8898,0.0521
(400  200),true,euclidean,1000,0.0,0.6,0.0,1,[(100  100)  (300  100)],1.3,0.4,0.1,0.1,4.0,0.01,10000,10,0.4798,0.097
(400  200),true,euclidean,1000,0.0,0.0,0.0,1,[(100  100)  (300  100)],2.0,0.7,0.4,0.1,4.0,0.01,10000,10,0.5469,0.0269
(400  200),true,euclidean,1000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.3,0.1,0.9,0.1,4.0,0.01,10000,10,0.8879,0.0295
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],1.1,-0.9,1.0,0.1,4.0,0.01,10000,10,0.8772,0.0485
(400  200),true,euclidean,1000,0.0,0.7,0.0,1,[(100  100)  (300  100)],0.9,-0.7,0.9,0.1,4.0,0.01,10000,10,0.903,0.0727
(400  200),true,euclidean,1000,0.0,0.3,0.0,1,[(100  100)  (300  100)],0.6,0.0,0.3,0.1,4.0,0.01,10000,10,0.818,0.0586
(400  200),true,euclidean,1000,0.0,0.7,0.0,1,[(100  100)  (300  100)],1.7,-0.2,0.4,0.1,4.0,0.01,10000,10,0.6345,0.0898
(400  200),true,euclidean,1000,0.0,0.9,0.0,1,[(100  100)  (300  100)],1.3,-1.0,0.8,0.1,4.0,0.01,10000,10,0.7927,0.1
(400  200),true,euclidean,1000,0.0,0.3,0.0,1,[(100  100)  (300  100)],0.5,0.1,0.1,0.1,4.0,0.01,10000,10,0.6739,0.0959
