dims,periodic_space,distance_metric,N,ϕC0,prob_EV,λ,cycle,sor_vec,T,S,prob_move,sor_orientation,x0,μ,generation,trial,mean_ϕC,std_ϕC
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.7034,0.028
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.7101,0.1273
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.7011,0.0271
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.8486,0.0804
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.5519,0.1389
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.7791,0.1004
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.4549,0.0066
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.5771,0.1213
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.8153,0.1079
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.455,0.0076
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.8241,0.0702
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.4546,0.0068
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.7045,0.0928
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.4639,0.0089
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.8253,0.1027
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.786,0.0711
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.6973,0.1034
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.6068,0.1126
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.4542,0.0077
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.7378,0.0237
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.6955,0.1336
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.8217,0.0791
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.8249,0.0682
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.8238,0.0614
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.7129,0.0243
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.835,0.0951
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.8691,0.0562
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,100,0.4532,0.0076
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,100,0.7174,0.0878
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.7873,0.1161
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.7793,0.0924
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.7039,0.0298
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,100,0.8543,0.0622
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,100,0.62,0.086
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,100,0.7729,0.0788
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,100,0.8481,0.0594
