dims,periodic_space,distance_metric,N,ϕC0,prob_EV,λ,cycle,sor_vec,T,S,prob_move,sor_orientation,x0,μ,generation,trial,mean_ϕC,std_ϕC
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.9,0.1,4.0,0.01,10000,50,0.8356,0.0854
(400  200),true,euclidean,1000,0.5,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,50,0.8384,0.08
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,50,0.7378,0.0235
(400  200),true,euclidean,1000,0.5,0.3,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.5,0.1,4.0,0.01,10000,50,0.8024,0.0723
(400  200),true,euclidean,1000,0.5,0.9,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,50,0.4545,0.0076
(400  200),true,euclidean,1000,0.5,0.5,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.9,0.1,4.0,0.01,10000,50,0.8243,0.0544
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,50,0.7058,0.022
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,50,0.5112,0.1292
(400  200),true,euclidean,1000,0.5,0.5,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,50,0.8481,0.0602
(400  200),true,euclidean,1000,0.5,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,50,0.886,0.0733
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,50,0.773,0.1057
(400  200),true,euclidean,1000,0.5,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.2,0.1,4.0,0.01,10000,50,0.736,0.1108
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,50,0.4535,0.008
(400  200),true,euclidean,1000,0.5,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,50,0.8549,0.0789
(400  200),true,euclidean,1000,0.5,0.7,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,50,0.8457,0.0814
(400  200),true,euclidean,1000,0.5,0.3,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.9,0.1,4.0,0.01,10000,50,0.8541,0.0513
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.9,0.1,4.0,0.01,10000,50,0.8293,0.0654
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,50,0.7174,0.1041
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.7,0.1,4.0,0.01,10000,50,0.7995,0.0625
(400  200),true,euclidean,1000,0.5,0.4,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.4,0.1,4.0,0.01,10000,50,0.7475,0.0758
(400  200),true,euclidean,1000,0.5,0.7,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.5,0.1,4.0,0.01,10000,50,0.7728,0.1041
(400  200),true,euclidean,1000,0.5,0.2,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,50,0.8722,0.0545
(400  200),true,euclidean,1000,0.5,0.3,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,50,0.5099,0.084
(400  200),true,euclidean,1000,0.5,0.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.7,0.1,4.0,0.01,10000,50,0.7013,0.0293
(400  200),true,euclidean,1000,0.5,0.1,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.1,0.1,4.0,0.01,10000,50,0.5764,0.0913
(400  200),true,euclidean,1000,0.5,0.8,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.6,0.1,4.0,0.01,10000,50,0.78,0.1013
(400  200),true,euclidean,1000,0.5,0.5,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.8,0.1,4.0,0.01,10000,50,0.8208,0.0852
(400  200),true,euclidean,1000,0.5,0.7,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,50,0.4513,0.0071
(400  200),true,euclidean,1000,0.5,0.9,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.9,0.1,4.0,0.01,10000,50,0.8435,0.0843
(400  200),true,euclidean,1000,0.5,0.3,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.3,0.1,4.0,0.01,10000,50,0.7135,0.0865
(400  200),true,euclidean,1000,0.5,0.3,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.0,0.1,4.0,0.01,10000,50,0.4543,0.0064
(400  200),true,euclidean,1000,0.5,1.0,0.0,1,[(100  100)  (300  100)],1.2,-0.2,0.7,0.1,4.0,0.01,10000,50,0.8088,0.1224
(400  200),true,euclidean,1000,0.5,0.6,0.0,1,[(100  100)  (300  100)],1.2,-0.2,1.0,0.1,4.0,0.01,10000,50,0.8529,0.0736
