dims,periodic_space,distance_metric,N,ϕC0,prob_EV,λ,cycle,sor_vec,T,S,prob_move,sor_orientation,x0,μ,generation,trial,mean_ϕC,std_ϕC
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],0.0,-1.0,0.8,0.1,4.0,0.01,10000,10,0.8757,0.0441
(400  200),true,euclidean,1000,0.0,0.8,0.0,1,[(100  100)  (300  100)],0.8,0.2,0.8,0.1,4.0,0.01,10000,10,0.8985,0.0371
(400  200),true,euclidean,1000,0.0,0.8,0.0,1,[(100  100)  (300  100)],0.2,-0.4,1.0,0.1,4.0,0.01,10000,10,0.8863,0.0767
(400  200),true,euclidean,1000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,0.8,0.8,0.1,4.0,0.01,10000,10,0.8951,0.039
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],1.4,0.4,0.8,0.1,4.0,0.01,10000,10,0.8279,0.0226
(400  200),true,euclidean,1000,0.0,0.2,0.0,1,[(100  100)  (300  100)],1.0,0.6,0.2,0.1,4.0,0.01,10000,10,0.8304,0.0562
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],0.0,1.0,0.2,0.1,4.0,0.01,10000,10,0.9313,0.0212
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],0.0,0.6,0.2,0.1,4.0,0.01,10000,10,0.876,0.0211
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],1.8,-0.2,1.0,0.1,4.0,0.01,10000,10,0.8002,0.0535
(400  200),true,euclidean,1000,0.0,0.0,0.0,1,[(100  100)  (300  100)],1.8,-0.8,0.6,0.1,4.0,0.01,10000,10,0.5756,0.0237
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],0.0,-0.4,0.8,0.1,4.0,0.01,10000,10,0.9077,0.0467
(400  200),true,euclidean,1000,0.0,0.0,0.0,1,[(100  100)  (300  100)],2.0,0.6,0.2,0.1,4.0,0.01,10000,10,0.5746,0.0199
(400  200),true,euclidean,1000,0.0,0.2,0.0,1,[(100  100)  (300  100)],0.6,0.4,0.4,0.1,4.0,0.01,10000,10,0.8851,0.014
(400  200),true,euclidean,1000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.2,1.0,0.0,0.1,4.0,0.01,10000,10,0.4619,0.0087
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],0.8,0.2,0.0,0.1,4.0,0.01,10000,10,0.4533,0.0077
(400  200),true,euclidean,1000,0.0,0.8,0.0,1,[(100  100)  (300  100)],0.8,0.6,0.8,0.1,4.0,0.01,10000,10,0.9143,0.0466
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],0.4,0.4,0.2,0.1,4.0,0.01,10000,10,0.828,0.0458
(400  200),true,euclidean,1000,0.0,0.8,0.0,1,[(100  100)  (300  100)],0.8,0.2,1.0,0.1,4.0,0.01,10000,10,0.9152,0.0224
(400  200),true,euclidean,1000,0.0,0.4,0.0,1,[(100  100)  (300  100)],0.8,1.0,0.2,0.1,4.0,0.01,10000,10,0.9142,0.0272
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],0.2,0.4,0.2,0.1,4.0,0.01,10000,10,0.879,0.0357
(400  200),true,euclidean,1000,0.0,1.0,0.0,1,[(100  100)  (300  100)],2.0,-0.6,1.0,0.1,4.0,0.01,10000,10,0.8324,0.1923
(400  200),true,euclidean,1000,0.0,0.1,0.0,1,[(100  100)  (300  100)],1.0,-0.2,0.0,0.1,4.0,0.01,10000,10,0.4509,0.009
(400  200),true,euclidean,1000,0.0,0.0,0.0,1,[(100  100)  (300  100)],2.0,-0.6,0.0,0.1,4.0,0.01,10000,10,0.4025,0.005
(400  200),true,euclidean,1000,0.0,0.2,0.0,1,[(100  100)  (300  100)],2.0,-0.2,1.0,0.1,4.0,0.01,10000,10,0.7683,0.1119
